prompt_mode,count,mean_score,mean_coverage_rate,mean_agreement_rate,mean_under_constrained_count,mean_over_constrained_count,high_risk_rate,smt_counterexample_rate,mean_confidence
adversarial_review,6,91.09375,0.9666666666666667,0.8770833333333333,245.83333333333334,0.0,0.16666666666666666,0.16666666666666666,1.0
direct_translation,7,85.01785714285714,0.9428571428571428,0.8007142857142858,398.57142857142856,0.0,0.2857142857142857,0.2857142857142857,0.9928571428571429
obligation_guided,7,86.44642857142857,1.0,0.8007142857142858,398.57142857142856,0.0,0.2857142857142857,0.2857142857142857,1.0
